GEOID20,ADJ_GEOMS
08001001001,"['08001001002', '08031031401', '08031031402', '08059059146', '08001001007']"
08001001002,"['08031031501', '08031031502', '08031031403', '08001001003', '08001001001', '08001001007']"
08001001003,"['08031031502', '08001001002', '08001001122', '08001001011', '08001001005', '08001001021', '08001001004', '08001001007', '08001001006']"
08001001004,"['08001001003', '08001001005', '08001001021']"
08001001005,"['08001001003', '08001001011', '08001001020', '08001001019', '08001001021', '08001001004']"
08001001006,"['08001001003', '08001001011', '08001001010', '08001001007']"
08001001007,"['08001001002', '08001001003', '08001001001', '08059059146', '08001001010', '08001001006', '08001001008', '08001001009']"
08001001008,"['08059059146', '08001001007', '08001001009', '08059059147']"
08001001009,"['08001001010', '08001001007', '08001001008', '08059059147', '08059059149']"
08001001010,"['08001001013', '08001001011', '08059059144', '08001001007', '08001001006', '08001001009', '08059059149']"
08001001011,"['08001001003', '08001001010', '08001001012', '08001001005', '08001001019', '08001001006']"
08001001012,"['08001001013', '08001001011', '08001001014', '08001001018', '08001001015', '08001001017']"
08001001013,"['08001001010', '08001001012', '08001001014', '08059059145', '08059059144']"
08001001014,"['08001001013', '08001001012', '08059059145', '08001001015', '08059059155', '08059059154']"
08001001015,"['08001001012', '08001001014', '08001001016', '08001001017', '08059059139', '08059059155', '08059059156']"
08001001016,"['08001001032', '08001001018', '08001001031', '08001001015', '08001001017', '08059059139']"
08001001017,"['08001001012', '08001001018', '08001001016', '08001001015']"
08001001018,"['08001001012', '08001001034', '08001001030', '08001001032', '08001001019', '08001001026', '08001001031', '08001001016', '08001001017']"
08001001019,"['08001001011', '08001001018', '08001001020', '08001001005', '08001001025', '08001001026']"
08001001020,"['08001001005', '08001001019', '08001001024', '08001001025', '08001001021']"
08001001021,"['08001001122', '08001001003', '08001001020', '08001001005', '08001001024', '08001001022', '08001001004']"
08001001022,"['08001001122', '08001001024', '08001001021', '08001001023']"
08001001023,"['08001001122', '08001001024', '08001001022', '08001001028', '08001001120']"
08001001024,"['08001001020', '08001001025', '08001001021', '08001001022', '08001001023', '08001001028', '08001001027']"
08001001025,"['08001001020', '08001001019', '08001001024', '08001001027', '08001001026']"
08001001026,"['08001001030', '08001001018', '08001001019', '08001001025', '08001001027']"
08001001027,"['08001001030', '08001001024', '08001001025', '08001001028', '08001001029', '08001001026']"
08001001028,"['08001001024', '08001001023', '08001001027', '08001001250', '08001001029', '08001001120']"
08001001029,"['08001001030', '08001001028', '08001001027', '08001001250', '08001001038']"
08001001030,"['08001001035', '08001001018', '08001001027', '08001001029', '08001001026', '08001001036']"
08001001031,"['08001001032', '08001001018', '08001001016']"
08001001032,"['08001001034', '08001001018', '08001001033', '08001001031', '08001001016', '08059059139']"
08001001033,"['08001001045', '08001001047', '08001001034', '08001001032', '08059059139', '08059059142']"
08001001034,"['08001001032', '08001001035', '08001001044', '08001001018', '08001001033']"
08001001035,"['08001001034', '08001001030', '08001001044', '08001001042', '08001001036', '08001001037']"
08001001036,"['08001001030', '08001001035', '08001001038', '08001001037']"
08001001037,"['08001001035', '08001001042', '08001001038', '08001001036', '08001001041']"
08001001038,"['08001001039', '08001001040', '08001001029', '08001001105', '08001001036', '08001001037', '08001001041']"
08001001039,"['08001001052', '08001001098', '08001001040', '08001001105', '08001001038']"
08001001040,"['08001001039', '08001001051', '08001001038', '08001001041']"
08001001041,"['08001001051', '08001001040', '08001001042', '08001001038', '08001001037']"
08001001042,"['08001001051', '08001001043', '08001001035', '08001001044', '08001001050', '08001001037', '08001001041']"
08001001043,"['08001001046', '08001001045', '08001001049', '08001001044', '08001001042']"
08001001044,"['08001001045', '08001001043', '08001001034', '08001001035', '08001001042']"
08001001045,"['08001001046', '08001001047', '08001001043', '08001001044', '08001001033']"
08001001046,"['08001001045', '08001001047', '08001001043', '08001001048', '08001001049']"
08001001047,"['08001001046', '08001001045', '08001001048', '08001001033', '08059059142']"
08001001048,"['08001001046', '08001001047', '08001001049', '08001001055', '08059059142', '08001001056', '08059059137']"
08001001049,"['08001001046', '08001001043', '08001001048', '08001001050', '08001001054', '08001001055']"
08001001050,"['08001001051', '08001001049', '08001001054', '08001001042']"
08001001051,"['08001001052', '08001001053', '08001001040', '08001001050', '08001001042', '08001001041']"
08001001052,"['08001001053', '08001001087', '08001001039', '08001001062', '08001001098', '08001001061', '08001001064', '08001001090', '08001001051']"
08001001053,"['08001001052', '08001001061', '08001001051', '08001001054']"
08001001054,"['08001001053', '08001001049', '08001001050', '08001001060', '08001001055']"
08001001055,"['08001001048', '08001001049', '08001001054', '08001001059', '08001001056']"
08001001056,"['08001001057', '08001001048', '08001001059', '08001001055', '08059059137']"
08001001057,"['08014014021', '08001001058', '08059059143', '08001001059', '08001001056']"
08001001058,"['08014014022', '08014014021', '08001001063', '08001001057', '08001001059']"
08001001059,"['08001001058', '08001001063', '08001001057', '08001001062', '08001001060', '08001001055', '08001001056']"
08001001060,"['08001001062', '08001001061', '08001001054', '08001001059']"
08001001061,"['08001001052', '08001001053', '08001001062', '08001001060']"
08001001062,"['08001001063', '08001001052', '08001001061', '08001001064', '08001001060', '08001001059']"
08001001063,"['08014014022', '08014014027', '08001001058', '08001001065', '08001001062', '08001001064', '08001001066', '08001001059']"
08001001064,"['08001001063', '08001001052', '08001001087', '08001001062', '08001001066']"
08001001065,"['08014014027', '08001001063', '08014014028', '08014014030', '08001001068', '08001001066', '08001001067']"
08001001066,"['08001001063', '08001001069', '08001001065', '08001001068', '08001001064', '08001001081', '08001001067']"
08001001067,"['08001001065', '08001001068', '08001001066']"
08001001068,"['08014014032', '08001001069', '08001001065', '08014014030', '08001001066', '08001001067']"
08001001069,"['08014014036', '08014014033', '08014014032', '08001001070', '08001001073', '08001001068', '08001001075', '08001001066']"
08001001070,"['08014014036', '08014014034', '08001001069']"
08001001071,"['08123123305', '08014014037', '08001001072', '08014014036']"
08001001072,"['08123123305', '08001001160', '08001001071', '08014014036', '08001001073']"
08001001073,"['08001001160', '08001001072', '08014014036', '08001001069', '08001001074', '08001001075']"
08001001074,"['08001001160', '08001001073', '08001001252']"
08001001075,"['08001001069', '08001001073', '08001001252', '08001001081', '08001001080']"
08001001076,"['08001001159', '08001001252', '08001001079', '08001001077']"
08001001077,"['08001001159', '08001001150', '08001001079', '08001001076', '08001001078']"
08001001078,"['08001001150', '08001001086', '08001001079', '08001001077']"
08001001079,"['08001001252', '08001001085', '08001001084', '08001001086', '08001001076', '08001001077', '08001001080', '08001001078']"
08001001080,"['08001001075', '08001001081', '08001001084', '08001001079', '08001001082', '08001001083']"
08001001081,"['08001001075', '08001001087', '08001001066', '08001001082', '08001001083', '08001001080']"
08001001082,"['08001001081', '08001001083', '08001001080']"
08001001083,"['08001001087', '08001001081', '08001001084', '08001001082', '08001001080']"
08001001084,"['08001001087', '08001001085', '08001001079', '08001001083', '08001001080']"
08001001085,"['08001001088', '08001001084', '08001001086', '08001001079', '08001001149']"
08001001086,"['08001001150', '08001001085', '08001001079', '08001001149', '08001001078']"
08001001087,"['08001001052', '08001001064', '08001001090', '08001001089', '08001001088', '08001001093', '08001001092', '08001001081', '08001001084', '08001001083', '08001001091']"
08001001088,"['08001001087', '08001001146', '08001001089', '08001001147', '08001001085', '08001001149']"
08001001089,"['08001001087', '08001001146', '08001001088', '08001001094', '08001001093']"
08001001090,"['08001001052', '08001001087', '08001001098', '08001001095', '08001001099', '08001001091']"
08001001091,"['08001001087', '08001001090', '08001001092', '08001001095']"
08001001092,"['08001001087', '08001001093', '08001001096', '08001001095', '08001001091']"
08001001093,"['08001001087', '08001001089', '08001001094', '08001001097', '08001001101', '08001001096', '08001001092']"
08001001094,"['08001001089', '08001001136', '08001001097', '08001001093']"
08001001095,"['08001001090', '08001001096', '08001001100', '08001001092', '08001001099', '08001001091']"
08001001096,"['08001001093', '08001001101', '08001001100', '08001001092', '08001001095']"
08001001097,"['08001001136', '08001001094', '08001001134', '08001001135', '08001001093']"
08001001098,"['08001001052', '08001001039', '08001001090', '08001001099', '08001001105']"
08001001099,"['08001001098', '08001001090', '08001001100', '08001001095', '08001001102', '08001001105']"
08001001100,"['08001001101', '08001001096', '08001001095', '08001001099', '08001001106', '08001001103', '08001001102']"
08001001101,"['08001001134', '08001001093', '08001001096', '08001001100', '08001001103', '08001001104']"
08001001102,"['08001001100', '08001001099', '08001001106']"
