GEOID20,ADJ_GEOMS
39001001AAA,"['39001001AAN', '39001001AAD', '39071036ABC', '39071036AAQ', '39001001AAT']"
39001001AAB,"['39001001AAN', '39001001AAG', '39001001AAE', '39001001AAR', '39001001AAY']"
39001001AAD,"['39145073ADR', '39001001AAN', '39131066AAV', '39001001AAA', '39131066AAO']"
39001001AAE,"['39145073ADD', '39001001AAG', '39145073ADE', '39001001AAB', '39001001AAR']"
39001001AAG,"['39145073ABU', '39001001AAN', '39145073ADD', '39001001AAE', '39001001AAB']"
39001001AAI,"['39001001AAR', '39001001AAW', '39015008AAM', '39001001AAZ', '39001001ABE', '39001001ABC', '39015008AAA']"
39001001AAK,"['39001001AAR', '39001001AAW']"
39001001AAN,"['39145073ADR', '39145073ABU', '39001001AAD', '39001001AAG', '39001001AAA', '39001001AAT', '39001001AAB', '39001001AAY', '39001001AAS', '39001001AAP']"
39001001AAP,['39001001AAN']
39001001AAR,"['39001001AAE', '39001001AAB', '39001001AAY', '39001001AAW', '39001001AAI', '39001001AAK', '39001001AAZ']"
39001001AAS,"['39001001AAN', '39001001AAT', '39001001AAY', '39001001AAZ', '39001001ABE']"
39001001AAT,"['39001001AAN', '39071036ABC', '39071036AAT', '39001001AAA', '39001001ABG', '39001001AAS', '39001001ABE', '39001001AAU']"
39001001AAU,"['39001001AAT', '39001001ABE']"
39001001AAW,"['39001001AAR', '39001001AAI', '39015008AAM', '39001001AAK']"
39001001AAY,"['39001001AAN', '39001001AAB', '39001001AAR', '39001001AAS', '39001001AAZ', '39001001ABC', '39001001ABA']"
39001001AAZ,"['39001001AAR', '39001001AAY', '39001001AAI', '39001001AAS', '39001001ABE', '39001001ABC', '39001001ABA']"
39001001ABA,"['39001001AAY', '39001001AAZ', '39001001ABC']"
39001001ABC,"['39001001AAY', '39001001AAI', '39001001AAZ', '39001001ABA']"
39001001ABE,"['39001001AAT', '39001001ABG', '39001001AAI', '39001001AAS', '39001001AAZ', '39001001AAU', '39015008AAA', '39015008ACH']"
39001001ABG,"['39071036AAT', '39001001AAT', '39015008ACF', '39001001ABE', '39001001ABH', '39015008ACH']"
39001001ABH,['39001001ABG']
39003002AAA,"['39003002AET', '39003002AAE', '39161081AAE', '39161081AAD', '39137069AAG', '39003002AAC']"
39003002AAC,"['39003002AET', '39003002AAE', '39137069AAG', '39003002AAA']"
39003002AAE,"['39003002AET', '39161081ABJ', '39161081AAC', '39161081AAB', '39003002AAA', '39161081AAA', '39003002AAC', '39003002AAG']"
39003002AAG,"['39003002AET', '39003002AAE']"
39003002AAH,"['39003002AAP', '39003002ACY', '39003002ADY', '39003002AAJ', '39003002AEC', '39003002AEB']"
39003002AAJ,"['39003002AAP', '39003002AAQ', '39003002AAY', '39003002AAX', '39003002AEC', '39003002AAK', '39003002AAH']"
39003002AAK,"['39003002AAQ', '39003002AAJ', '39003002AAX', '39003002AAW']"
39003002AAO,"['39003002ADA', '39003002ACX', '39003002AAP', '39003002ACZ', '39003002ACY']"
39003002AAP,"['39003002ADA', '39003002AAO', '39003002AAQ', '39003002ACY', '39003002AAJ', '39003002AAH']"
39003002AAQ,"['39003002ADA', '39003002AAP', '39003002ACE', '39003002AAJ', '39003002AAW', '39003002AAK']"
39003002AAW,"['39003002AAQ', '39003002ACE', '39003002ACG', '39003002ABW', '39003002AAX', '39003002ABF', '39003002AAK']"
39003002AAX,"['39003002ABP', '39003002ABX', '39003002ABW', '39003002AAY', '39003002AAJ', '39003002AAW', '39003002AAK']"
39003002AAY,"['39003002ABT', '39003002ABP', '39003002AAJ', '39003002AAX', '39003002AEG', '39003002AEC']"
39003002ABE,"['39003002ADG', '39003002ADI', '39003002ACG', '39003002ABH', '39003002ABF', '39003002ABI']"
39003002ABF,"['39003002ABE', '39003002ACG', '39003002ABW', '39003002AAW', '39003002ABI']"
39003002ABH,"['39003002AFO', '39003002ADI', '39003002ABE', '39003002ABI', '39003002AFP']"
39003002ABI,"['39003002ABE', '39003002ABH', '39003002ABW', '39003002ABF', '39003002AFP']"
39003002ABP,"['39003002ABQ', '39003002ABT', '39003002ABX', '39003002AAY', '39003002AAX']"
39003002ABQ,"['39003002ABZ', '39003002ABR', '39003002ABT', '39003002ABP', '39003002ABX']"
39003002ABR,"['39003002ABQ', '39003002ABZ', '39003002ABT', '39003002AFC']"
39003002ABT,"['39003002AFB', '39003002ABQ', '39003002ABR', '39003002ABP', '39003002AFC', '39003002AAY', '39003002AEG']"
39003002ABW,"['39003002ABZ', '39003002ABX', '39003002AFQ', '39003002AAX', '39003002AAW', '39003002ABF', '39003002ABI', '39003002AFP']"
39003002ABX,"['39003002ABQ', '39003002ABZ', '39003002ABP', '39003002ABW', '39003002AAX']"
39003002ABZ,"['39003002AGD', '39003002ABQ', '39003002ABR', '39003002ABX', '39003002ABW', '39003002AFC', '39003002AFQ']"
39003002ACD,"['39003002ADG', '39003002ADC', '39003002ADA', '39003002ACE', '39003002ACG', '39003002ADB']"
39003002ACE,"['39003002ADA', '39003002ACD', '39003002AAQ', '39003002ACG', '39003002AAW']"
39003002ACG,"['39003002ADG', '39003002ACD', '39003002ACE', '39003002ABE', '39003002AAW', '39003002ABF']"
39003002ACT,"['39003002AFV', '39011006ABC', '39003002AGI', '39003002ACU', '39003002AFN', '39003002AFT']"
39003002ACU,"['39003002ACT', '39003002AGI', '39003002AET', '39003002AES', '39003002ADF', '39003002ACW']"
39003002ACW,"['39003002AES', '39003002AGN', '39003002ACU', '39003002ADF', '39003002ADE', '39003002ADC', '39003002ADD', '39003002ACX', '39003002ADQ', '39003002ADR']"
39003002ACX,"['39003002AGN', '39003002ACW', '39003002ADC', '39003002ADA', '39003002AAO', '39003002ACZ', '39003002ACY']"
39003002ACY,"['39003002AGN', '39003002ACX', '39003002AAO', '39003002AAP', '39003002ADY', '39003002AAH']"
39003002ACZ,"['39003002ADA', '39003002ACX', '39003002AAO']"
39003002ADA,"['39003002ADC', '39003002ACX', '39003002ACD', '39003002AAO', '39003002AAP', '39003002AAQ', '39003002ACE', '39003002ACZ']"
39003002ADB,"['39003002ADC', '39003002ACD']"
39003002ADC,"['39003002ACW', '39003002ADE', '39003002ADG', '39003002ADD', '39003002ADA', '39003002ACX', '39003002ACD', '39003002ADR', '39003002ADB']"
39003002ADD,"['39003002ACW', '39003002ADE', '39003002ADC', '39003002ADR']"
39003002ADE,"['39003002ADF', '39003002ACW', '39003002ADG', '39003002ADC', '39003002ADD']"
39003002ADF,"['39003002ACU', '39003002AFN', '39003002ACW', '39003002ADE', '39003002ADG', '39003002AFO']"
39003002ADG,"['39003002ADF', '39003002ADE', '39003002AFO', '39003002ADC', '39003002ACD', '39003002ADI', '39003002ABE', '39003002ACG']"
39003002ADI,"['39003002ADG', '39003002AFO', '39003002ABE', '39003002ABH']"
39003002ADQ,"['39003002ACW', '39003002ADR']"
39003002ADR,"['39003002ACW', '39003002ADC', '39003002ADD', '39003002ADQ']"
39003002ADT,"['39011006ABP', '39065033ABE', '39003002ADW', '39003002AEQ', '39003002ADU', '39003002AFB']"
39003002ADU,['39003002ADT']
39003002ADW,"['39003002AEZ', '39011006ABP', '39003002ADT', '39003002AFB']"
39003002ADY,"['39003002AGN', '39003002AEY', '39003002ACY', '39003002ADZ', '39003002AAH', '39003002AEB']"
39003002ADZ,"['39003002AEN', '39003002AEY', '39003002AEX', '39003002ADY', '39003002AEA', '39003002AEB']"
39003002AEA,"['39003002AEN', '39003002AED', '39003002ADZ', '39003002AEB']"
39003002AEB,"['39003002ADY', '39003002AEA', '39003002AED', '39003002ADZ', '39003002AEC', '39003002AAH']"
39003002AEC,"['39003002AED', '39003002AAY', '39003002AAJ', '39003002AEG', '39003002AAH', '39003002AEB']"
39003002AED,"['39003002AEQ', '39003002AEE', '39003002AEA', '39003002AEG', '39003002AEC', '39003002AEB', '39003002AEF']"
39003002AEE,"['39003002AEQ', '39003002AFB', '39003002AED', '39003002AEF']"
39003002AEF,"['39003002AEE', '39003002AFB', '39003002AED', '39003002AEG']"
39003002AEG,"['39003002AFB', '39003002ABT', '39003002AED', '39003002AAY', '39003002AEC', '39003002AEF']"
39003002AEN,"['39065033AAX', '39003002AEQ', '39003002AFF', '39003002AEA', '39003002ADZ']"
39003002AEO,['39003002AEQ']
39003002AEQ,"['39003002ADT', '39065033AAX', '39003002AEN', '39003002AEE', '39003002AED', '39003002AEO']"
39003002AES,"['39003002AET', '39137069AAG', '39137069ABO', '39003002AGN', '39003002ACU', '39003002ACW']"
39003002AET,"['39003002AGI', '39161081AAX', '39161081ABK', '39161081ABJ', '39003002AAE', '39137069AAG', '39003002AAA', '39003002AES', '39003002AAC', '39003002ACU', '39003002AAG']"
39003002AEW,['39003002AEY']
39003002AEX,"['39003002AFF', '39137069ABF', '39003002AEY', '39003002AFG', '39003002ADZ']"
39003002AEY,"['39137069ABF', '39137069ABO', '39003002AGN', '39003002AEX', '39003002ADY', '39003002ADZ', '39003002AEW']"
39003002AEZ,"['39011006AAP', '39011006ABL', '39003002AGD', '39003002ADW', '39003002AFB', '39003002AFC']"
39003002AFB,"['39003002AEZ', '39003002ADT', '39003002ADW', '39003002AEE', '39003002ABT', '39003002AFC', '39003002AEG', '39003002AEF']"
39003002AFC,"['39003002AGD', '39003002AEZ', '39003002AFB', '39003002ABZ', '39003002ABR', '39003002ABT', '39003002AFQ']"
39003002AFE,['39003002AFF']
39003002AFF,"['39003002AEN', '39063032ACI', '39003002AFG', '39003002AEX', '39003002AFK', '39003002AFJ', '39003002AFE']"
39003002AFG,"['39003002AFF', '39063032ACI', '39137069ABF', '39063032ACN', '39137069ABK', '39003002AEX', '39003002AFK', '39003002AFI', '39003002AFJ']"
39003002AFI,"['39063032ACI', '39003002AFG', '39003002AFK', '39003002AFJ']"
39003002AFJ,"['39003002AFF', '39003002AFG', '39003002AFK', '39003002AFI']"
39003002AFK,"['39003002AFF', '39063032ACI', '39003002AFG', '39003002AFI', '39003002AFJ']"
39003002AFN,"['39003002ACT', '39003002ADF', '39003002AFT', '39003002AFO']"
39003002AFO,"['39003002ADF', '39003002AFN', '39003002AFT', '39003002ADG', '39003002ADI', '39003002ABH', '39003002AFQ', '39003002AFP', '39003002AGB', '39003002AFR', '39003002AFS']"
39003002AFP,"['39003002AFO', '39003002ABH', '39003002ABW', '39003002AFQ', '39003002ABI', '39003002AFR']"
39003002AFQ,"['39003002AGD', '39003002AFO', '39003002ABZ', '39003002ABW', '39003002AFC', '39003002AFP', '39003002AGC', '39003002AGB', '39003002AFR', '39003002AFS']"
39003002AFR,"['39003002AFO', '39003002AFQ', '39003002AFP', '39003002AFS']"
39003002AFS,"['39003002AFO', '39003002AFQ', '39003002AFR']"
39003002AFT,"['39003002AFV', '39003002ACT', '39003002AFN', '39003002AFO', '39003002AFU', '39003002AGB']"
39003002AFU,"['39003002AFV', '39003002AFT', '39003002AGB']"
39003002AFV,"['39011006AAP', '39011006AAR', '39011006ABR', '39003002AGD', '39011006ABC', '39003002ACT', '39003002AFT', '39003002AFU', '39003002AGC', '39003002AGB']"
39003002AGB,"['39003002AFV', '39003002AFT', '39003002AFO', '39003002AFQ', '39003002AFU', '39003002AGC']"
39003002AGC,"['39003002AFV', '39003002AGD', '39003002AFQ', '39003002AGB']"
39003002AGD,"['39011006AAP', '39011006AAS', '39011006ABR', '39003002AFV', '39003002AEZ', '39003002ABZ', '39003002AFC', '39003002AFQ', '39003002AGC']"
39003002AGI,"['39011006ABC', '39011006ABK', '39003002ACT', '39161081AAX', '39003002AET', '39003002ACU', '39003002AGK', '39003002AGL']"
39003002AGK,"['39003002AGI', '39003002AGL']"
39003002AGL,"['39003002AGI', '39003002AGK']"
39003002AGN,"['39137069ABO', '39003002AES', '39003002AEY', '39003002ACW', '39003002ACX', '39003002ACY', '39003002ADY']"
39005003AAA,"['39005003ACH', '39005003AAH', '39005003AAJ', '39005003AAD', '39005003AAB', '39005003AAF']"
39005003AAB,"['39005003AAU', '39005003ACH', '39005003AAH', '39005003AAQ', '39005003AAA']"
39005003AAD,"['39005003AAJ', '39005003ACA', '39005003AAA', '39005003AAF']"
39005003AAF,"['39005003ACH', '39005003AAD', '39005003ACA', '39005003AAA']"
39005003AAG,"['39005003ABZ', '39005003ABC', '39005003AAH', '39005003AAJ', '39005003ABB']"
39005003AAH,"['39005003ABZ', '39005003AAJ', '39005003AAG', '39005003AAQ', '39005003ABB', '39005003AAB', '39005003AAA']"
39005003AAJ,"['39005003ABZ', '39005003AAH', '39005003AAG', '39005003AAD', '39005003AAA']"
39005003AAQ,"['39005003AAU', '39005003AAH', '39005003AAV', '39005003ABB', '39005003AAS', '39005003AAB']"
39005003AAS,"['39005003AAU', '39005003AAV', '39005003AAQ']"
39005003AAU,"['39005003ACE', '39005003ACH', '39005003ACF', '39005003AAV', '39005003AAQ', '39005003AAS', '39005003AAB']"
39005003AAV,"['39005003AAU', '39005003ACF', '39005003AAQ', '39005003AAZ', '39005003AAS']"
39005003AAZ,"['39005003ACF', '39005003ABC', '39005003AAV', '39005003ABB']"
39005003ABB,"['39005003ABC', '39005003AAH', '39005003AAG', '39005003AAQ', '39005003AAZ']"
39005003ABC,"['39005003ACF', '39005003ABZ', '39005003AAG', '39005003ABB', '39005003AAZ']"
39005003ABG,"['39005003ABZ', '39005003ACA', '39005003ACI', '39005003ACN', '39005003ACJ', '39139070ABM']"
39005003ABI,"['39005003ABN', '39005003ABJ', '39139070ACH', '39005003ACS', '39139070ACG']"
39005003ABJ,"['39005003ABN', '39005003ABI', '39005003ABO', '39075038AAY', '39005003ACT', '39005003ABV', '39005003ACS']"
39005003ABN,"['39083042AAQ', '39083042ABG', '39075038AAL', '39139070ADH', '39005003ABI', '39005003ABO', '39005003ABJ', '39075038AAY']"
